       z/Rp        rho(g/cc)        P(bar)         T(K) 
    1.04415e+00    2.23166e-09    1.35305e-04    1.69156e+03
    1.04494e+00    1.91425e-09    1.14976e-04    1.67576e+03
    1.04572e+00    1.64112e-09    9.77010e-05    1.66097e+03
    1.04649e+00    1.40621e-09    8.30218e-05    1.64720e+03
    1.04725e+00    1.20425e-09    7.05480e-05    1.63446e+03
    1.04801e+00    1.03071e-09    5.99484e-05    1.62273e+03
    1.04877e+00    8.81667e-10    5.09414e-05    1.61202e+03
    1.04952e+00    7.53730e-10    4.32876e-05    1.60233e+03
    1.05026e+00    6.43968e-10    3.67838e-05    1.59366e+03
    1.05101e+00    5.49853e-10    3.12572e-05    1.58601e+03
    1.05174e+00    4.69201e-10    2.65609e-05    1.57939e+03
    1.05248e+00    4.00126e-10    2.25702e-05    1.57378e+03
    1.05321e+00    3.42114e-10    1.91791e-05    1.56409e+03
    1.05394e+00    2.91378e-10    1.62975e-05    1.56052e+03
    1.05467e+00    2.48004e-10    1.38489e-05    1.55797e+03
    1.05540e+00    2.10950e-10    1.17681e-05    1.55644e+03
    1.05612e+00    1.79314e-10    1.00000e-05    1.55593e+03
