#Source directory:   /home/jasmina/Work/TEA/TEA-APJSupp-paper/TEA-paper-runs/test-compendium/WASP-43b-comp/CEA-outputs/
#Pressure    Temp       *H            *CO           *CO2          CH4           H2O           HCN           C2H4          *N2           NH3           H2S           
5.01187230   1807.13    1.5707e-4     4.5566e-4     5.2849e-8     3.9456e-6     3.8081e-4     7.1437e-8     3.066e-11     5.7271e-5     8.6618e-7     2.2513e-5     
6.02559590   1807.31    1.4347e-4     4.5395e-4     5.2878e-8     5.6480e-6     3.8253e-4     8.5109e-8     5.233e-11     5.7178e-5     1.0402e-6     2.2514e-5     
7.24435960   1807.53    1.3108e-4     4.5153e-4     5.2918e-8     8.0549e-6     3.8495e-4     1.0104e-7     8.868e-11     5.7066e-5     1.2488e-6     2.2515e-5     
8.70963590   1807.79    1.1981e-4     4.4815e-4     5.2970e-8     1.1430e-5     3.8835e-4     1.1936e-7     1.488e-10     5.6933e-5     1.4988e-6     2.2515e-5     
10.47128500  1808.11    1.0956e-4     4.4345e-4     5.3033e-8     1.6111e-5     3.9306e-4     1.4010e-7     2.466e-10     5.6773e-5     1.7983e-6     2.2516e-5     
12.58925400  1808.49    1.0023e-4     4.3703e-4     5.3100e-8     2.2511e-5     3.9949e-4     1.6304e-7     4.016e-10     5.6584e-5     2.1567e-6     2.2517e-5     
15.13561200  1808.95    9.1762e-5     4.2843e-4     5.3154e-8     3.1106e-5     4.0812e-4     1.8771e-7     6.401e-10     5.6358e-5     2.5853e-6     2.2519e-5     
18.19700900  1809.49    8.4070e-5     4.1712e-4     5.3158e-8     4.2401e-5     4.1945e-4     2.1326e-7     9.935e-10     5.6091e-5     3.0973e-6     2.2519e-5     
21.87761600  1810.15    7.7093e-5     4.0264e-4     5.3052e-8     5.6873e-5     4.3396e-4     2.3851e-7     1.4944e-9     5.5775e-5     3.7082e-6     2.2520e-5     
26.30268000  1810.94    7.0772e-5     3.8461e-4     5.2745e-8     7.4898e-5     4.5202e-4     2.6204e-7     2.1691e-9     5.5402e-5     4.4359e-6     2.2521e-5     
31.62277700  1811.89    6.5054e-5     3.6283e-4     5.2111e-8     9.6669e-5     4.7384e-4     2.8234e-7     3.0281e-9     5.4961e-5     5.3014e-6     2.2521e-5     
0.00001047   958.49     2.0388e-7     4.5942e-4     3.4861e-7     1.019e-11     3.7652e-4     2.031e-13     2.860e-22     5.7744e-5     4.883e-11     2.2518e-5     
0.00001000   958.48     2.0858e-7     4.5942e-4     3.4862e-7     9.296e-12     3.7652e-4     1.939e-13     2.492e-22     5.7744e-5     4.664e-11     2.2518e-5     
0.00001259   958.52     1.8611e-7     4.5942e-4     3.4856e-7     1.472e-11     3.7652e-4     2.442e-13     4.967e-22     5.7744e-5     5.870e-11     2.2518e-5     
0.00001514   958.56     1.6992e-7     4.5942e-4     3.4849e-7     2.126e-11     3.7652e-4     2.936e-13     8.626e-22     5.7744e-5     7.057e-11     2.2518e-5     
0.00001820   958.61     1.5521e-7     4.5942e-4     3.4841e-7     3.067e-11     3.7652e-4     3.530e-13     1.496e-21     5.7744e-5     8.481e-11     2.2518e-5     
0.00002188   958.67     1.4180e-7     4.5942e-4     3.4831e-7     4.425e-11     3.7652e-4     4.243e-13     2.595e-21     5.7744e-5     1.019e-10     2.2518e-5     
0.00002630   958.75     1.2961e-7     4.5942e-4     3.4820e-7     6.380e-11     3.7652e-4     5.100e-13     4.497e-21     5.7744e-5     1.224e-10     2.2518e-5     
0.00003162   958.83     1.1851e-7     4.5942e-4     3.4805e-7     9.198e-11     3.7652e-4     6.131e-13     7.794e-21     5.7744e-5     1.471e-10     2.2518e-5     
0.00003802   958.94     1.0841e-7     4.5942e-4     3.4789e-7     1.326e-10     3.7652e-4     7.372e-13     1.351e-20     5.7744e-5     1.767e-10     2.2518e-5     
0.00004571   959.07     9.9236e-8     4.5942e-4     3.4768e-7     1.909e-10     3.7652e-4     8.862e-13     2.338e-20     5.7744e-5     2.123e-10     2.2518e-5     
0.00005495   959.22     9.0912e-8     4.5942e-4     3.4744e-7     2.746e-10     3.7652e-4     1.065e-12     4.043e-20     5.7744e-5     2.549e-10     2.2518e-5     
0.00006607   959.40     8.3355e-8     4.5942e-4     3.4714e-7     3.949e-10     3.7652e-4     1.281e-12     6.988e-20     5.7744e-5     3.061e-10     2.2518e-5     
0.00007943   959.63     7.6514e-8     4.5942e-4     3.4679e-7     5.670e-10     3.7652e-4     1.539e-12     1.206e-19     5.7744e-5     3.674e-10     2.2518e-5     
0.00009550   959.89     7.0323e-8     4.5942e-4     3.4637e-7     8.133e-10     3.7652e-4     1.851e-12     2.079e-19     5.7744e-5     4.409e-10     2.2518e-5     
0.00011482   960.22     6.4736e-8     4.5942e-4     3.4585e-7     1.1646e-9     3.7652e-4     2.225e-12     3.578e-19     5.7744e-5     5.289e-10     2.2518e-5     
0.00013804   960.60     5.9708e-8     4.5942e-4     3.4524e-7     1.6642e-9     3.7652e-4     2.674e-12     6.144e-19     5.7744e-5     6.341e-10     2.2518e-5     
0.00016596   961.07     5.5194e-8     4.5942e-4     3.4450e-7     2.3729e-9     3.7652e-4     3.214e-12     1.053e-18     5.7744e-5     7.598e-10     2.2518e-5     
0.00019953   961.63     5.1160e-8     4.5942e-4     3.4362e-7     3.3742e-9     3.7653e-4     3.863e-12     1.799e-18     5.7744e-5     9.098e-10     2.2518e-5     
0.00023988   962.31     4.7577e-8     4.5942e-4     3.4257e-7     4.7818e-9     3.7653e-4     4.642e-12     3.062e-18     5.7744e-5     1.0886e-9     2.2518e-5     
0.00028840   963.12     4.4416e-8     4.5942e-4     3.4131e-7     6.7504e-9     3.7653e-4     5.578e-12     5.192e-18     5.7744e-5     1.3012e-9     2.2518e-5     
0.00034674   964.09     4.1658e-8     4.5942e-4     3.3980e-7     9.4852e-9     3.7653e-4     6.703e-12     8.763e-18     5.7744e-5     1.5537e-9     2.2518e-5     
0.00041687   965.26     3.9289e-8     4.5941e-4     3.3801e-7     1.3252e-8     3.7654e-4     8.053e-12     1.470e-17     5.7744e-5     1.8525e-9     2.2518e-5     
0.00050119   966.66     3.7297e-8     4.5941e-4     3.3588e-7     1.8393e-8     3.7655e-4     9.674e-12     2.449e-17     5.7744e-5     2.2052e-9     2.2518e-5     
0.00060256   968.34     3.5684e-8     4.5941e-4     3.3335e-7     2.5328e-8     3.7656e-4     1.162e-11     4.047e-17     5.7744e-5     2.6200e-9     2.2518e-5     
0.00072444   970.35     3.4457e-8     4.5940e-4     3.3036e-7     3.4554e-8     3.7657e-4     1.395e-11     6.623e-17     5.7744e-5     3.1057e-9     2.2518e-5     
0.00087096   972.75     3.3634e-8     4.5939e-4     3.2685e-7     4.6625e-8     3.7659e-4     1.675e-11     1.072e-16     5.7744e-5     3.6716e-9     2.2518e-5     
0.00104713   975.61     3.3246e-8     4.5938e-4     3.2273e-7     6.2120e-8     3.7661e-4     2.010e-11     1.711e-16     5.7744e-5     4.3272e-9     2.2518e-5     
0.00125893   979.01     3.3349e-8     4.5936e-4     3.1794e-7     8.1537e-8     3.7663e-4     2.412e-11     2.690e-16     5.7744e-5     5.0813e-9     2.2518e-5     
0.00151356   983.06     3.4030e-8     4.5935e-4     3.1238e-7     1.0519e-7     3.7666e-4     2.893e-11     4.153e-16     5.7744e-5     5.9414e-9     2.2518e-5     
0.00181970   987.86     3.5416e-8     4.5933e-4     3.0598e-7     1.3301e-7     3.7670e-4     3.468e-11     6.281e-16     5.7744e-5     6.9133e-9     2.2518e-5     
0.00218776   993.52     3.7689e-8     4.5930e-4     2.9868e-7     1.6444e-7     3.7673e-4     4.156e-11     9.280e-16     5.7744e-5     7.9998e-9     2.2518e-5     
